id,Book,Author,Language ,Published_on,Sales_in_millions,Genre
135,Long Walk to Freedom,Nelson Mandela,English,1994,14,Dystopian fiction
136,The Old Man and the Sea,Ernest Hemingway,English,1952,13,Dystopian fiction
137,Life After Life,Raymond Moody,English,1975,13,Dystopian fiction
138,Peyton Place ,Grace Metalious,English,1956,12,Dystopian fiction
139,The Giver,Lois Lowry,English,1993,12,Dystopian fiction
140,Me Before You,Jojo Moyes,English,2012,12,Horror
141,Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,12,Horror
142,The Plague (La Peste),Albert Camus,French,1947,12,Horror
143,No Longer Human (人間失格),Osamu Dazai,Japanese,1948,12,Horror
144,Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12,Horror
145,The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,12,Horror
146,The Prophet,Kahlil Gibran,English,1923,11,Horror
147,The Boy in the Striped Pyjamas,John Boyne,English,2006,11,Horror
148,The Exorcist,William Peter Blatty,English,1971,11,Horror
149,The Gruffalo,Julia Donaldson,English,1999,11,Erotica
150,Fifty Shades Darker,E. L. James,English,2012,10,Erotica
151,Tobacco Road,Erskine Caldwell,English,1932,10,Fiction
152,"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10,Fiction
153,The Cat in the Hat,Dr. Seuss,English,1957,11,Fiction
154,Diana: Her True Story,Andrew Morton,English,1992,10,Fiction
155,The Help,Kathryn Stockett,English,2009,10,Fiction
156,Catch-22,Joseph Heller,English,1961,10,Fiction
157,The Stranger (L'Étranger),Albert Camus,French,1942,10,Fiction
158,Eye of the Needle,Ken Follett,English,1978,10,Fiction
159,The Lovely Bones,Alice Sebold,English,2002,10,Comedy
160,Wild Swans,Jung Chang,English,1992,10,Comedy
161,Santa Evita,Tomás Eloy Martínez,Spanish,1995,10,Comedy
162,Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10,Fiction
163,Confucius from the Heart (于丹《论语》心得),Yu Dan,Chinese,2006,10,Fiction
164,The Total Woman,Marabel Morgan,English,1974,10,Fiction
165,Knowledge-value Revolution (知価革命),Taichi Sakaiya,Japanese,1985,10,Fiction
166,Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,Chinese,1979,10,Fiction
167,What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10,Fiction
168,The Dukan Diet,Pierre Dukan,French,2000,10,Fiction
169,The Joy of Sex,Alex Comfort,English,1972,10,Fiction
170,The Gospel According to Peanuts,Robert L. Short,English,1965,10,Autobiography
171,The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10,Autobiography
172,Life of Pi,Yann Martel,English,2001,10,Autobiography
173,The Front Runner,Patricia Nell Warren,English,1974,10,Non-Fiction
174,The Goal,Eliyahu M. Goldratt,English,1984,10,Non-Fiction
175,Fahrenheit 451,Ray Bradbury,English,1953,10,Non-Fiction
176,Angela's Ashes,Frank McCourt,English,1996,10,Non-Fiction
177,The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,Gujarati,1929,10,Non-Fiction
178,Bridget Jones's Diary,Helen Fielding,English,1996,10,Non-Fiction
